population,unemployed,shape,year,district,districtNumber,foreigners,births
53231.2,1752,gesamt,2015,Ludwigsvorstadt-Isarvorstadt,10,13198,646
53231.2,1580.8,gesamt,2015,Ludwigsvorstadt-Isarvorstadt,10,13198,646
49940.7,1752,gesamt,2015,Hadern,2,13198,452
49940.7,1580.8,gesamt,2015,Hadern,2,13198,452
61266.8,1488.5,gesamt,2015,Au-Haidhausen,5,14814,837
69017.7,2360.5,gesamt,2015,Trudering-Riem,15,14849,756
55084.6,2052.8,gesamt,2015,Laim,25,14759,580
111142.1,5943,gesamt,2015,Ramersdorf - Perlach,16,36798,1109
84874.1,1803.8,gesamt,2015,Bogenhausen,13,20257,903
52969.8,1090.3,gesamt,2015,Maxvorstadt,3,14937,653
72556.3,2234,gesamt,2015,Pasing - Obermenzing,21,16077,801
60855.9,2905.8,gesamt,2015,Feldmoching-Hasenbergl,24,19543,644
